Company;Revenue;Activity;City
ACCIONA CONSTRUCCION SA.;1527;4121;Madrid
ACERINOX EUROPA SAU;1483;2410;Cadiz
AENA S.M.E. SA.;3755;5223;Madrid
AIR EUROPA LINEAS AEREAS SA;1934;5110;Baleares
AIRBUS DEFENCE AND SPACE SA.;2988;3030;Madrid
AIRBUS MILITARY SL;1681;3030;Madrid
AIRBUS OPERATIONS SL;1749;3030;Madrid
ALCAMPO SA;3294;4711;Madrid
ALUMINIO ESPA„OL SL;2761;2442;Madrid
ALVEAN SUGAR SOCIEDAD LIMITADA.;3831;4636;Bizkaia
AMADEUS IT GROUP SA;4304;6311;Madrid
ARCELORMITTAL ESPA„A, SA;3404;2410;Asturias
ATLANTIC COPPER, S.L.U.;1789;2444;Huelva
BIDA FARMA S. COOP. AND;2175;4646;Malaga
BMW IBERICA SAU.;1970;4511;Madrid
BP OIL ESPA„A SAU;4572;4671;Madrid
BSH ELECTRODOMESTICOS ESPA„A SA;1624;2751;Zaragoza
BUNGE IBERICA SA;2717;4621;Madrid
CENTROS COMERCIALES CARREFOUR SA;7977;4711;Madrid
CEPSA COMERCIAL PETROLEO SAU;4455;4671;Madrid
CEPSA QUIMICA SA;2924;2014;Madrid
CEPSA TRADING SAU;13513;4671;Madrid
COCA-COLA EUROPEAN PARTNERS IBERIA SL.;2503;4634;Madrid
COFARES S. C. FARMACEUTICA ESPA„OLA;3096;4646;Madrid
COMPA„IA DE DISTRIBUCION INTEGRAL LOGISTA SA;1745;4635;Madrid
COMPA„IA ESPA„OLA DE PETROLEOS SAU;16154;1920;Madrid
CONSUM S COOP V;2353;4711;Valencia
CORPORACION ALIMENTARIA GUISSONA, SOCIEDAD ANONIMA;1674;150;Lerida
DECATHLON ESPA„A SAU;1713;4764;Madrid
DISA SUMINISTROS Y TRADING SL;1736;6612;Tenerife
DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION SA;4394;4711;Madrid
EDP ESPA„A SA.;1616;3516;Asturias
EL CORTE INGLES SA;11484;4719;Madrid
ENDESA DISTRIBUCION ELECTRICA SL;2467;3513;Madrid
ENDESA ENERGIA SAU;12582;3514;Madrid
ENDESA ENERGIA XXI SL;2755;3514;Madrid
ENDESA GENERACION SA;4530;3516;Sevilla
ENDESA SA;1763;6420;Madrid
EROSKI, S. COOP.;1728;4711;Bizkaia
FOMENTO DE CONSTRUCCIONES Y CONTRATAS SA;1666;3811;Barcelona
FORD ESPA„A SL;9150;2910;Madrid
GALP ENERGIA ESPA„A SAU;4509;4671;Madrid
GAS NATURAL COMERCIALIZADORA SA;5789;3523;Madrid
GRUPO BIDAFARMA SOC COOP DE SEGUNDO GRADO;2238;4646;Granada
HOTELBEDS SLU;1734;7911;Baleares
IBERDROLA CLIENTES SOCIEDAD ANONIMA.;7536;3514;Bizkaia
IBERDROLA COMERCIALIZACION DE ULTIMO RECURSO SOCIEDAD ANONIMA;1516;3514;Bizkaia
IBERDROLA DISTRIBUCION ELECTRICA SAU;1951;3519;Bizkaia
IBERDROLA ESPA„A SOCIEDAD ANONIMA.;1611;6420;Bizkaia
IBERDROLA GENERACION ESPA„A SOCIEDAD ANONIMA.;6643;3519;Bizkaia
IBERDROLA, SOCIEDAD ANONIMA;2510;6420;Bizkaia
IBERIA LINEAS AEREAS DE ESPA„A SOCIEDAD ANONIMA OPERADORA;4387;5110;Madrid
INDRA SISTEMAS, SOCIEDAD ANONIMA;1872;6209;Madrid
INDUSTRIA DE DISE„O TEXTIL SA;10242;4642;Coru–a
